UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,INTERVAL_MS,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_FUNDING_RATE_UPDATES
HOUR,2025-09-04 16:00:00,227,dydxv4,BTC-USD,3600000,2.65e-05,2.65e-05,1.9e-05,1.9e-05,1757001600.0,1757001600.0,1.9e-05,1.9e-05,1757001600.0,1.9e-05,1757001600.0,1.9e-05,1
HOUR,2025-09-04 17:00:00,227,dydxv4,BTC-USD,3600000,1.9e-05,2.6625e-05,1.9e-05,2.6625e-05,1757005200.0,1757005200.0,2.6625e-05,2.6625e-05,1757005200.0,2.6625e-05,1757005200.0,2.6625e-05,1
HOUR,2025-09-04 18:00:00,227,dydxv4,BTC-USD,3600000,2.6625e-05,2.6625e-05,2.6625e-05,2.6625e-05,,,,,,,,,0
HOUR,2025-09-04 19:00:00,227,dydxv4,BTC-USD,3600000,2.6625e-05,2.6625e-05,2.575e-05,2.575e-05,1757012400.0,1757012400.0,2.575e-05,2.575e-05,1757012400.0,2.575e-05,1757012400.0,2.575e-05,1
HOUR,2025-09-04 20:00:00,227,dydxv4,BTC-USD,3600000,2.575e-05,2.575e-05,2.75e-06,2.75e-06,1757016000.0,1757016000.0,2.75e-06,2.75e-06,1757016000.0,2.75e-06,1757016000.0,2.75e-06,1
HOUR,2025-09-04 21:00:00,227,dydxv4,BTC-USD,3600000,2.75e-06,2.75e-06,2.375e-06,2.375e-06,1757019600.0,1757019600.0,2.375e-06,2.375e-06,1757019600.0,2.375e-06,1757019600.0,2.375e-06,1
HOUR,2025-09-04 22:00:00,227,dydxv4,BTC-USD,3600000,2.375e-06,2.375e-06,-5.875e-06,-5.875e-06,1757023200.0,1757023200.0,-5.875e-06,-5.875e-06,1757023200.0,-5.875e-06,1757023200.0,-5.875e-06,1
HOUR,2025-09-04 23:00:00,227,dydxv4,BTC-USD,3600000,-5.875e-06,-4.125e-06,-5.875e-06,-4.125e-06,1757026801.0,1757026801.0,-4.125e-06,-4.125e-06,1757026801.0,-4.125e-06,1757026801.0,-4.125e-06,1
HOUR,2025-09-05 00:00:00,227,dydxv4,BTC-USD,3600000,-4.125e-06,-4.125e-06,-4.125e-06,-4.125e-06,,,,,,,,,0
HOUR,2025-09-05 01:00:00,227,dydxv4,BTC-USD,3600000,-4.125e-06,1e-05,-4.125e-06,1e-05,1757034000.0,1757034000.0,1e-05,1e-05,1757034000.0,1e-05,1757034000.0,1e-05,1
HOUR,2025-09-05 02:00:00,227,dydxv4,BTC-USD,3600000,1e-05,1.15e-05,1e-05,1.15e-05,1757037600.0,1757037600.0,1.15e-05,1.15e-05,1757037600.0,1.15e-05,1757037600.0,1.15e-05,1
HOUR,2025-09-05 03:00:00,227,dydxv4,BTC-USD,3600000,1.15e-05,1.375e-05,1.15e-05,1.375e-05,1757041200.0,1757041200.0,1.375e-05,1.375e-05,1757041200.0,1.375e-05,1757041200.0,1.375e-05,1
HOUR,2025-09-05 04:00:00,227,dydxv4,BTC-USD,3600000,1.375e-05,1.375e-05,1.0625e-05,1.0625e-05,1757044800.0,1757044800.0,1.0625e-05,1.0625e-05,1757044800.0,1.0625e-05,1757044800.0,1.0625e-05,1
HOUR,2025-09-05 05:00:00,227,dydxv4,BTC-USD,3600000,1.0625e-05,1.0625e-05,9.75e-06,9.75e-06,1757048403.0,1757048403.0,9.75e-06,9.75e-06,1757048403.0,9.75e-06,1757048403.0,9.75e-06,1
HOUR,2025-09-05 06:00:00,227,dydxv4,BTC-USD,3600000,9.75e-06,2.275e-05,9.75e-06,2.275e-05,1757052000.0,1757052000.0,2.275e-05,2.275e-05,1757052000.0,2.275e-05,1757052000.0,2.275e-05,1
HOUR,2025-09-05 07:00:00,227,dydxv4,BTC-USD,3600000,2.275e-05,2.275e-05,1.325e-05,1.325e-05,1757055600.0,1757055600.0,1.325e-05,1.325e-05,1757055600.0,1.325e-05,1757055600.0,1.325e-05,1
HOUR,2025-09-05 08:00:00,227,dydxv4,BTC-USD,3600000,1.325e-05,1.325e-05,9.25e-06,9.25e-06,1757059200.0,1757059200.0,9.25e-06,9.25e-06,1757059200.0,9.25e-06,1757059200.0,9.25e-06,1
HOUR,2025-09-05 09:00:00,227,dydxv4,BTC-USD,3600000,9.25e-06,9.25e-06,3.125e-06,3.125e-06,1757062800.0,1757062800.0,3.125e-06,3.125e-06,1757062800.0,3.125e-06,1757062800.0,3.125e-06,1
HOUR,2025-09-05 10:00:00,227,dydxv4,BTC-USD,3600000,3.125e-06,3.875e-06,3.125e-06,3.875e-06,1757066400.0,1757066400.0,3.875e-06,3.875e-06,1757066400.0,3.875e-06,1757066400.0,3.875e-06,1
HOUR,2025-09-05 11:00:00,227,dydxv4,BTC-USD,3600000,3.875e-06,2.125e-05,3.875e-06,2.125e-05,1757070000.0,1757070000.0,2.125e-05,2.125e-05,1757070000.0,2.125e-05,1757070000.0,2.125e-05,1
HOUR,2025-09-05 12:00:00,227,dydxv4,BTC-USD,3600000,2.125e-05,2.125e-05,1.5125e-05,1.5125e-05,1757073600.0,1757073600.0,1.5125e-05,1.5125e-05,1757073600.0,1.5125e-05,1757073600.0,1.5125e-05,1
HOUR,2025-09-05 13:00:00,227,dydxv4,BTC-USD,3600000,1.5125e-05,1.6625e-05,1.5125e-05,1.6625e-05,1757077200.0,1757077200.0,1.6625e-05,1.6625e-05,1757077200.0,1.6625e-05,1757077200.0,1.6625e-05,1
HOUR,2025-09-05 14:00:00,227,dydxv4,BTC-USD,3600000,1.6625e-05,1.6625e-05,3.875e-06,3.875e-06,1757080800.0,1757080800.0,3.875e-06,3.875e-06,1757080800.0,3.875e-06,1757080800.0,3.875e-06,1
HOUR,2025-09-05 15:00:00,227,dydxv4,BTC-USD,3600000,3.875e-06,1.7625e-05,3.875e-06,1.7625e-05,1757084400.0,1757084400.0,1.7625e-05,1.7625e-05,1757084400.0,1.7625e-05,1757084400.0,1.7625e-05,1
HOUR,2025-09-05 16:00:00,227,dydxv4,BTC-USD,3600000,1.7625e-05,1.825e-05,1.7625e-05,1.825e-05,1757088000.0,1757088000.0,1.825e-05,1.825e-05,1757088000.0,1.825e-05,1757088000.0,1.825e-05,1
HOUR,2025-09-05 17:00:00,227,dydxv4,BTC-USD,3600000,1.825e-05,1.825e-05,8.25e-06,8.25e-06,1757091600.0,1757091600.0,8.25e-06,8.25e-06,1757091600.0,8.25e-06,1757091600.0,8.25e-06,1
HOUR,2025-09-05 18:00:00,227,dydxv4,BTC-USD,3600000,8.25e-06,1.45e-05,8.25e-06,1.45e-05,1757095200.0,1757095200.0,1.45e-05,1.45e-05,1757095200.0,1.45e-05,1757095200.0,1.45e-05,1
HOUR,2025-09-05 19:00:00,227,dydxv4,BTC-USD,3600000,1.45e-05,1.525e-05,1.45e-05,1.525e-05,1757098800.0,1757098800.0,1.525e-05,1.525e-05,1757098800.0,1.525e-05,1757098800.0,1.525e-05,1
HOUR,2025-09-05 20:00:00,227,dydxv4,BTC-USD,3600000,1.525e-05,1.525e-05,1.125e-05,1.125e-05,1757102400.0,1757102400.0,1.125e-05,1.125e-05,1757102400.0,1.125e-05,1757102400.0,1.125e-05,1
HOUR,2025-09-05 21:00:00,227,dydxv4,BTC-USD,3600000,1.125e-05,1.125e-05,1.125e-05,1.125e-05,,,,,,,,,0
HOUR,2025-09-05 22:00:00,227,dydxv4,BTC-USD,3600000,1.125e-05,1.125e-05,1.125e-05,1.125e-05,,,,,,,,,0
HOUR,2025-09-05 23:00:00,227,dydxv4,BTC-USD,3600000,1.125e-05,1.8e-05,1.125e-05,1.8e-05,1757113200.0,1757113200.0,1.8e-05,1.8e-05,1757113200.0,1.8e-05,1757113200.0,1.8e-05,1
HOUR,2025-09-06 00:00:00,227,dydxv4,BTC-USD,3600000,1.8e-05,1.8e-05,1.4125e-05,1.4125e-05,1757116800.0,1757116800.0,1.4125e-05,1.4125e-05,1757116800.0,1.4125e-05,1757116800.0,1.4125e-05,1
HOUR,2025-09-06 01:00:00,227,dydxv4,BTC-USD,3600000,1.4125e-05,1.4375e-05,1.4125e-05,1.4375e-05,1757120401.0,1757120401.0,1.4375e-05,1.4375e-05,1757120401.0,1.4375e-05,1757120401.0,1.4375e-05,1
HOUR,2025-09-06 02:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 03:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 04:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 05:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 06:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 07:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 08:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 09:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.4375e-05,1.4375e-05,1.4375e-05,,,,,,,,,0
HOUR,2025-09-06 10:00:00,227,dydxv4,BTC-USD,3600000,1.4375e-05,1.5e-05,1.4375e-05,1.5e-05,1757152800.0,1757152800.0,1.5e-05,1.5e-05,1757152800.0,1.5e-05,1757152800.0,1.5e-05,1
HOUR,2025-09-06 11:00:00,227,dydxv4,BTC-USD,3600000,1.5e-05,1.5e-05,7e-06,7e-06,1757156400.0,1757156400.0,7e-06,7e-06,1757156400.0,7e-06,1757156400.0,7e-06,1
HOUR,2025-09-06 12:00:00,227,dydxv4,BTC-USD,3600000,7e-06,7e-06,2.125e-06,2.125e-06,1757160001.0,1757160001.0,2.125e-06,2.125e-06,1757160001.0,2.125e-06,1757160001.0,2.125e-06,1
HOUR,2025-09-06 13:00:00,227,dydxv4,BTC-USD,3600000,2.125e-06,2.125e-06,2.125e-06,2.125e-06,,,,,,,,,0
HOUR,2025-09-06 14:00:00,227,dydxv4,BTC-USD,3600000,2.125e-06,2.125e-06,2.125e-06,2.125e-06,,,,,,,,,0
HOUR,2025-09-06 15:00:00,227,dydxv4,BTC-USD,3600000,2.125e-06,2.125e-06,2.125e-06,2.125e-06,,,,,,,,,0
HOUR,2025-09-06 16:00:00,227,dydxv4,BTC-USD,3600000,2.125e-06,9.125e-06,2.125e-06,9.125e-06,1757174400.0,1757174400.0,9.125e-06,9.125e-06,1757174400.0,9.125e-06,1757174400.0,9.125e-06,1
HOUR,2025-09-06 17:00:00,227,dydxv4,BTC-USD,3600000,9.125e-06,9.125e-06,7.25e-06,7.25e-06,1757178000.0,1757178000.0,7.25e-06,7.25e-06,1757178000.0,7.25e-06,1757178000.0,7.25e-06,1
HOUR,2025-09-06 18:00:00,227,dydxv4,BTC-USD,3600000,7.25e-06,7.25e-06,5.625e-06,5.625e-06,1757181600.0,1757181600.0,5.625e-06,5.625e-06,1757181600.0,5.625e-06,1757181600.0,5.625e-06,1
