UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2025-05-11 20:00:00,707,binance,BTCUSDT,104420.0,104442.78,104162.78,104269.85,1746993600,1746997199,104420.0,104442.78,1746995778,104162.78,1746994094,104269.85,76385,42944,33441,0,292.09692,30472879.4716417,181.0734,18890029.3826609,111.02352,11582850.0889808,0,0
HOUR,2025-05-11 21:00:00,707,binance,BTCUSDT,104269.85,104388.0,103952.38,104349.0,1746997200,1747000799,104269.85,104388.0,1747000569,103952.38,1746999794,104349.0,80538,47916,32622,0,324.08378,33754153.1317798,165.39409,17227172.4640952,158.68969,16526980.6676846,0,0
HOUR,2025-05-11 22:00:00,707,binance,BTCUSDT,104349.0,104578.62,103569.77,103793.67,1747000800,1747004399,104349.01,104578.62,1747000953,103569.77,1747003499,103793.67,210193,115952,94241,0,740.71696,76980512.3113239,371.29018,38584992.4400099,369.42678,38395519.871314,0,0
HOUR,2025-05-11 23:00:00,707,binance,BTCUSDT,103793.67,104142.86,103761.9,104118.0,1747004400,1747007999,103793.67,104142.86,1747007981,103761.9,1747004456,104118.0,105613,57899,47714,0,536.54239,55772162.3026973,333.57398,34676336.2472418,202.96841,21095826.0554555,0,0
HOUR,2025-05-12 00:00:00,707,binance,BTCUSDT,104118.0,104635.48,104074.15,104587.31,1747008000,1747011599,104118.0,104635.48,1747011359,104074.15,1747008091,104587.31,173525,94961,78564,0,864.57103,90270909.1050291,403.79187,42156122.3644538,460.77916,48114786.7405753,0,0
HOUR,2025-05-12 01:00:00,707,binance,BTCUSDT,104587.31,105086.42,103764.5,103984.14,1747011600,1747015199,104587.31,105086.42,1747012099,103764.5,1747013810,103984.14,255244,128357,126887,0,1894.48964,198136743.565834,1118.32115,117028113.726221,776.16849,81108629.8398507,0,0
HOUR,2025-05-12 02:00:00,707,binance,BTCUSDT,103984.14,104204.08,103710.66,103885.72,1747015200,1747018799,103984.14,104204.08,1747016438,103710.66,1747018580,103885.72,166692,83792,82900,0,712.35791,74076051.2657254,353.07739,36718631.4780835,359.28052,37357419.7876419,0,0
HOUR,2025-05-12 03:00:00,707,binance,BTCUSDT,103885.72,104100.13,103702.15,104100.13,1747018800,1747022399,103885.73,104100.13,1747022399,103702.15,1747019212,104100.13,89864,48870,40994,0,574.91027,59738181.9719141,272.62,28327632.7964353,302.29027,31410549.1754788,0,0
HOUR,2025-05-12 04:00:00,707,binance,BTCUSDT,104100.13,104164.77,103816.47,104072.7,1747022400,1747025999,104100.13,104164.77,1747023473,103816.47,1747024053,104072.7,81161,43517,37644,0,450.99148,46909024.5012026,226.06328,23511530.6450044,224.9282,23397493.8561982,0,0
HOUR,2025-05-12 05:00:00,707,binance,BTCUSDT,104072.7,104072.71,103750.0,103940.0,1747026000,1747029598,104072.7,104072.71,1747026007,103750.0,1747027992,103940.0,75526,39103,36423,0,459.15467,47700425.8917738,220.04728,22858772.7440116,239.10739,24841653.1477622,0,0
HOUR,2025-05-12 06:00:00,707,binance,BTCUSDT,103940.0,104411.58,103800.0,104384.8,1747029600,1747033199,103939.99,104411.58,1747032400,103800.0,1747030651,104384.8,91455,50539,40916,0,502.82838,52393542.0928905,337.93679,35218407.3127853,164.89159,17175134.7801052,0,0
